authorid,name,university,rank_6yr,cnt_6yr,rank_12yr,cnt_12yr,rank_all,cnt_all,is_top1pct
40,"Dhaliwal, Dan S.",Deceased,1,20,1,29,3,42,1
1260,"Wright, Arnold M.",Retired or Emeritus,1,20,2,28,1,47,1
1123,"Tan, Hun-Tong",Nanyang Technological University,3,19,3,27,5,39,1
2504,"Omer, Thomas C.",University of Nebraska-Lincoln,4,18,9,22,15,30,1
1279,"Wood, David A.",Brigham Young University,4,18,11,21,49,21,1
2503,"Myers, Linda A.",University of Tennessee Knoxville,6,17,15,19,41,22,1
2668,"Shevlin, Terry","University of California, Irvine",7,16,6,23,4,40,1
738,"Kim, Jeong-Bon",University of Waterloo,8,15,16,18,73,19,0
595,"Knechel, W. Robert",University of Florida,8,15,9,22,19,29,1
729,"Lennox, Clive S.",University of Southern California,8,15,6,23,34,24,1
3341,"Drake, Michael S.",Brigham Young University,11,14,42,14,146,14,0
2664,"Rajgopal, Shivaram",Columbia University in the City of New York,11,14,5,24,8,33,1
1191,"Trotman, Ken T.",UNSW Sydney,11,14,11,21,12,32,1
260,"Cohen, Jeffrey R.",Boston College,14,13,16,18,21,28,1
1056,"Khurana, Inder K.",University of Missouri,14,13,21,17,34,24,1
2129,"Zhang, X. Frank",Yale University,14,13,26,16,108,16,0
2759,"Hope, Ole-Kristian",University of Toronto,17,12,26,16,83,18,0
79,"Peters, Gary F.",University of Arkansas,17,12,35,15,99,17,0
3423,"Sharp, Nathan Y.",Texas A&M University,17,12,64,12,212,12,0
2888,"Johnstone, Karla M.",University of Wisconsin-Madison,20,11,16,18,26,25,1
622,"Krishnan, Gopal V.",Bentley University,20,11,21,17,49,21,1
2442,"Larcker, David F.",Stanford University,20,11,42,14,8,33,1
1715,"Li, Chan",University of Pittsburgh,20,11,35,15,131,15,0
987,"Pittman, Jeffrey A.",Memorial University,20,11,21,17,73,19,0
112,"Bedard, Jean C.",Bentley University,25,10,13,20,8,33,1
297,"Cheng, Qiang",Singapore Management University,25,10,21,17,99,17,0
4216,"Christ, Margaret H.",University of Georgia,25,10,104,10,304,10,0
1054,"Francis, Jere R.",University of Missouri,25,10,6,23,12,32,1
2531,"Koonce, Lisa",University of Texas at Austin,25,10,16,18,15,30,1
758,"Lobo, Gerald J.",University of Houston,25,10,50,13,146,14,0
2536,"Mills, Lillian F.",University of Texas at Austin,25,10,42,14,41,22,1
586,"Raghunandan, K.",Florida International University,25,10,3,27,1,47,1
1028,"Sedatole, Karen L.",Michigan State University,25,10,42,14,99,17,0
2177,"Thomas, Wayne B.",University of Oklahoma,25,10,26,16,49,21,1
2542,"Williamson, Michael G.",University of Illinois at Urbana-Champaign,25,10,50,13,178,13,0
1302,"Armstrong, Christopher S.",University of Pennsylvania,36,9,85,11,252,11,0
2434,"Barth, Mary E.",Stanford University,36,9,35,15,6,38,1
737,"Gul, Ferdinand A.",Deakin University,36,9,42,14,37,23,1
10,"Hatfield, Richard C.",University of Alabama,36,9,26,16,83,18,0
565,"Kadous, Kathryn",Emory University,36,9,26,16,61,20,0
55,"Kaplan, Steven E.",Arizona State University,36,9,35,15,7,37,1
3371,"Martin, Xiumin",Washington University in St. Louis,36,9,133,9,367,9,0
3441,"Mcguire, Sean T.",Texas A&M University,36,9,133,9,367,9,0
